Date	Name	Duration	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
18.10.2015	Onirim	0.2	
19.10.2015	Mysterium	1	
19.10.2015	Mysterium	1	
20.10.2015	Mysterium	1	
22.10.2015	Mysterium	1	
22.10.2015	Mysterium	1	
24.10.2015	Hanabi	0.4	
24.10.2015	Hanabi	0.4	
24.10.2015	Hanabi	0.4	
29.10.2015	Tiny Epic Galaxies	0.6	
30.10.2015	Tiny Epic Galaxies	0.6	
31.10.2015	Onirim	0.2	
31.10.2015	Onirim	0.2	
31.10.2015	Tash-Kalar	0.75	online
01.11.2015	Stone Age	0.75	online
01.11.2015	Jaipur	0.6	online
07.11.2015	Alchemists	2	
07.11.2015	Watten	0.15	
07.11.2015	Watten	0.15	
07.11.2015	Watten	0.15	
13.11.2015	Hanabi	0.4	
13.11.2015	Hanabi	0.4	
14.11.2015	Yinsh	0.5	
15.11.2015	Space Hulk: Death Angel	0.75	
15.11.2015	Formula Motor Racing	1	
16.11.2015	Splendor	0.5	
16.11.2015	Sushi Go!	0.5	
16.11.2015	Hive	0.15	
17.11.2015	Tides of Time	0.5	
17.11.2015	The Duke	0.5	
17.11.2015	Patchwork	0.4	
17.11.2015	Patchwork	0.4	
18.11.2015	Super Motherload	1	
18.11.2015	Memoir 44	0.5	
18.11.2015	Yinsh	0.5	
18.11.2015	Yinsh	0.5	
19.11.2015	Marco Polo	1.25	
19.11.2015	Village	2	
20.11.2015	Five Tribes	1.25	
20.11.2015	Yinsh	0.5	
20.11.2015	Yinsh	0.5	
20.11.2015	Biblios	0.5	
20.11.2015	Biblios	0.5	
20.11.2015	Kakerlakenpoker	0.3	
20.11.2015	The Duke	0.5	
20.11.2015	The Duke	0.5	
21.11.2015	Yinsh	0.5	
21.11.2015	The Grizzled	0.5	
21.11.2015	Sylvion	0.5	
21.11.2015	ACBAS	0.75	
22.11.2015	Watten	0.15	
22.11.2015	Watten	0.15	
22.11.2015	Watten	0.15	
22.11.2015	Letters from Whitechapel	1.5	
22.11.2015	The Grizzled	0.5	
22.11.2015	Castles of Mad King Ludwig	1.5	
23.11.2015	Race! Formula 90	2	
23.11.2015	Watten	0.15	
23.11.2015	Watten	0.15	
23.11.2015	Watten	0.15	
23.11.2015	Watten	0.15	
23.11.2015	Yinsh	0.5	
23.11.2015	X-Wing	2.5	
24.11.2015	Battle Line	0.25	
24.11.2015	Quoridor	0.2	
24.11.2015	Yinsh	0.5	
24.11.2015	Yinsh	0.5	
25.11.2015	The Duke	0.5	
25.11.2015	The Duke	0.5	
25.11.2015	The Duke	0.5	
25.11.2015	Yinsh	0.5	
25.11.2015	Five Tribes	1.25	
26.11.2015	Yinsh	0.5	
26.11.2015	Yinsh	0.5	
27.11.2015	Puerto Rico	1	
27.11.2015	Mr. Jack Pocket	0.2	
27.11.2015	Mr. Jack Pocket	0.2	
27.11.2015	Mr. Jack Pocket	0.2	
27.11.2015	Mr. Jack Pocket	0.2	
27.11.2015	Mr. Jack Pocket	0.2	
28.11.2015	Marco Polo	1.25	
28.11.2015	Tash-Kalar	1	
28.11.2015	Timeline	0.1	
28.11.2015	Timeline	0.1	
28.11.2015	Timeline	0.1	
28.11.2015	Timeline	0.1	
28.11.2015	Timeline	0.1	
28.11.2015	Timeline	0.1	
28.11.2015	Yinsh	0.5	
28.11.2015	Yinsh	0.5	
29.11.2015	Yinsh	0.5	
29.11.2015	Tides of Time	0.5	
29.11.2015	Alchemists	2.5	
30.11.2015	Sons of Anarchy	2	
30.11.2015	Marco Polo	2	
01.12.2015	Yinsh	0.5	
01.12.2015	Yinsh	0.5	
01.12.2015	The Duke	0.5	
01.12.2015	The Duke	0.5	
01.12.2015	Mysterium	1	
04.12.2015	Steampunk Rally	1	
04.12.2015	Tash-Kalar	1	online
05.12.2015	Pandemic Legacy	1	
06.12.2015	Pandemic Legacy	1	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Android: Netrunner	0.5	
06.12.2015	Warhammer Quest: ACG	1.5	
07.12.2015	Android: Netrunner	0.5	
07.12.2015	Warhammer Quest: ACG	1.5	
08.12.2015	Warhammer Quest: ACG	1.5	
09.12.2015	Warhammer Quest: ACG	1.5	
10.12.2015	Warhammer Quest: ACG	1.5	
11.12.2015	Warhammer Quest: ACG	1.5	
12.12.2015	Pandemic Legacy	1	
13.12.2015	Pandemic Legacy	1.25	
13.12.2015	Android: Netrunner	0.75	
13.12.2015	Android: Netrunner	0.75	
13.12.2015	Android: Netrunner	0.75	
13.12.2015	Android: Netrunner	0.75	
17.12.2015	Castles of Mad King Ludwig	1	
19.12.2015	Pandemic Legacy	1.25	
20.12.2015	Pandemic Legacy	1.25	
20.12.2015	Yinsh	0.5	
20.12.2015	Yinsh	0.5	
21.12.2015	Tides of Time	0.5	
21.12.2015	Splendor	0.5	
21.12.2015	Splendor	0.5	
22.12.2015	Super Motherload	1	
26.12.2015	Pandemic Legacy	1.25	
26.12.2015	Pandemic Legacy	1.25	
26.12.2015	Yinsh	0.5	
26.12.2015	Yinsh	0.5	
27.12.2015	Android: Netrunner	0.75	
27.12.2015	Android: Netrunner	0.75	
