Date	Name	Duration				
17.05.2017	Limes	0.2	32			
17.05.2017	Limes	0.2	34			
17.05.2017	Limes	0.2	34			
17.05.2017	FUSE	0.2	Training - lose			
17.05.2017	FUSE	0.2	Training - win			
18.05.2017	FUSE	0.2	Standard - lose			
18.05.2017	La Granja - No Siesta	1	50			
19.05.2017	Walnut Grove	0.75	18			
20.05.2017	Walnut Grove	0.5	19			
21.05.2017	B-Sieged	3	Lost to Avatar then played to completion and won			
23.05.2017	Salvation Road	1.5	lost			
24.05.2017	Salvation Road	0.75	win			
25.05.2017	Lewis & Clark	1	win			
26.05.2017	Legends of Andor	1.5	Legend 1 - win			
27.05.2017	Crokinole	0.4	Mad vs Lma *			
27.05.2017	Crokinole	0.4	* Mad vs Lma			
27.05.2017	Crokinole	0.4	* Mad vs Lma			
27.05.2017	Yinsh	0.5	* Mad vs Lma			
27.05.2017	Legends of Andor	1	Legend 2 - lose			
28.05.2017	Legends of Andor	1	Legend 2 - lose			
29.05.2017	Legends of Andor	0.75	Legend 2 - lose			
29.05.2017	Hero Realms	0.5	Solo Playtest			
29.05.2017	7 Wonders Duel	0.75	Pericles Playtest - win			
29.05.2017	Viticulture	0.5	Scenario 7 - win - 23:20			
30.05.2017	Apex: Theropod	0.5	Saurophaganax vs Allosaurus - win			
30.05.2017	Terraforming Mars	1	Mining Guild - lose			
02.06.2017	Legends of Andor	1	Legend 3 - win			
03.06.2017	Arkham Horror - LCG	0.75	Curse of the Rougarou - Wendy Adams - R1 - lose			
04.06.2017	Arkham Horror - LCG	0.75	Curse of the Rougarou - Wendy Adams - R2 - win			
04.06.2017	Terraforming Mars	1.25	Mining Guild - win - 86 pts			
10.06.2017	Robinson Crusoe	3	Scenario 1 - lose			
10.06.2017	Robinson Crusoe	1.5	Scenario 1 - lose			
11.06.2017	Robinson Crusoe	1	Scenario 1 - lose			
11.06.2017	Robinson Crusoe	1	Scenario 1 - lose			
12.06.2017	Thunderbolt Apache Leader	2	Iraq - Surge - Day 1 - Mission 1 - win			
20.06.2017	FUSE	0.2	Standard - lose			
20.06.2017	FUSE	0.2	Standard - lose			
20.06.2017	FUSE	0.2	Standard - win			
22.06.2017	A Game of Thrones - LCG	1.5	Quintain - win			
23.06.2017	Time Stories	1.25	Asylum - lose			
23.06.2017	Time Stories	0.5	Asylum - lose			
23.06.2017	Time Stories	1.5	Asylum - win			
24.06.2017	Aeons End	1.5	Crooked - normal - win			
24.06.2017	Hero Realms	0.25	The Devourer - playtest - +5			
24.06.2017	Hero Realms	0.25	The Devourer - playtest - +1			
24.06.2017	Hero Realms	0.25	The Devourer - playtest - +1			
24.06.2017	Hero Realms	0.25	The Devourer - playtest - +12			
24.06.2017	Hero Realms	0.25	The Devourer - playtest - +37			
25.06.2017	Imperial Settlers	1.25	Aztecs - 83 pts			
26.06.2017	March of the Ants	0.75	25 - 11			
29.06.2017	Sentinels of the Multiverse	1	Baron Blade - lose			
